    µm         	nm
1.648442e-001	2.898760e+000
1.650667e-001	2.868876e+000
1.652891e-001	2.868876e+000
1.655116e-001	2.868876e+000
1.657341e-001	2.898760e+000
1.659565e-001	2.838992e+000
1.661790e-001	2.838992e+000
1.664014e-001	2.868876e+000
1.666239e-001	2.838992e+000
1.668463e-001	2.809108e+000
1.670688e-001	2.868876e+000
1.672912e-001	2.868876e+000
1.675137e-001	2.838992e+000
1.677362e-001	2.809108e+000
1.679586e-001	2.898760e+000
1.681811e-001	2.868876e+000
1.684035e-001	2.868876e+000
1.686260e-001	2.868876e+000
1.688484e-001	2.898760e+000
1.690709e-001	2.868876e+000
1.692934e-001	2.898760e+000
1.695158e-001	2.838992e+000
1.697383e-001	2.838992e+000
1.699607e-001	2.809108e+000
1.701832e-001	2.838992e+000
1.704056e-001	2.868876e+000
1.706281e-001	2.838992e+000
1.708506e-001	2.838992e+000
1.710730e-001	2.838992e+000
1.712955e-001	2.809108e+000
1.715179e-001	2.838992e+000
1.717404e-001	2.868876e+000
1.719628e-001	2.868876e+000
1.721853e-001	2.809108e+000
1.724078e-001	2.868876e+000
1.726302e-001	2.838992e+000
1.728527e-001	2.809108e+000
1.730751e-001	2.838992e+000
1.732976e-001	2.779224e+000
1.735200e-001	2.838992e+000
1.737425e-001	2.838992e+000
1.739649e-001	2.809108e+000
1.741874e-001	2.749339e+000
1.744099e-001	2.809108e+000
1.746323e-001	2.898760e+000
1.748548e-001	2.779224e+000
1.750772e-001	2.838992e+000
1.752997e-001	2.809108e+000
1.755221e-001	2.838992e+000
1.757446e-001	2.838992e+000
1.759671e-001	2.838992e+000
1.761895e-001	2.868876e+000
1.764120e-001	2.809108e+000
1.766344e-001	2.868876e+000
1.768569e-001	2.838992e+000
1.770793e-001	2.838992e+000
1.773018e-001	2.809108e+000
1.775243e-001	2.809108e+000
1.777467e-001	2.838992e+000
1.779692e-001	2.838992e+000
1.781916e-001	2.838992e+000
1.784141e-001	2.838992e+000
1.786365e-001	2.868876e+000
1.788590e-001	2.898760e+000
1.790815e-001	2.868876e+000
1.793039e-001	2.898760e+000
1.795264e-001	2.868876e+000
1.797488e-001	2.868876e+000
1.799713e-001	2.868876e+000
1.801937e-001	2.868876e+000
1.804162e-001	2.868876e+000
1.806387e-001	2.809108e+000
1.808611e-001	2.898760e+000
1.810836e-001	2.838992e+000
1.813060e-001	2.838992e+000
1.815285e-001	2.868876e+000
1.817509e-001	2.809108e+000
1.819734e-001	2.779224e+000
1.821958e-001	2.838992e+000
1.824183e-001	2.838992e+000
1.826408e-001	2.809108e+000
1.828632e-001	2.838992e+000
1.830857e-001	2.838992e+000
1.833081e-001	2.809108e+000
1.835306e-001	2.868876e+000
1.837530e-001	2.809108e+000
1.839755e-001	2.809108e+000
1.841980e-001	2.809108e+000
1.844204e-001	2.779224e+000
1.846429e-001	2.809108e+000
1.848653e-001	2.809108e+000
1.850878e-001	2.809108e+000
1.853102e-001	2.838992e+000
1.855327e-001	2.838992e+000
1.857552e-001	2.868876e+000
1.859776e-001	2.779224e+000
1.862001e-001	2.809108e+000
1.864225e-001	2.779224e+000
1.866450e-001	2.779224e+000
1.868674e-001	2.868876e+000
1.870899e-001	2.809108e+000
1.873124e-001	2.868876e+000
1.875348e-001	2.809108e+000
1.877573e-001	2.838992e+000
1.879797e-001	2.838992e+000
1.882022e-001	2.809108e+000
1.884246e-001	2.838992e+000
1.886471e-001	2.868876e+000
1.888695e-001	2.809108e+000
1.890920e-001	2.868876e+000
1.893145e-001	2.928644e+000
1.895369e-001	2.838992e+000
1.897594e-001	2.898760e+000
1.899818e-001	2.838992e+000
1.902043e-001	2.868876e+000
1.904267e-001	2.868876e+000
1.906492e-001	2.809108e+000
1.908717e-001	2.809108e+000
1.910941e-001	2.838992e+000
1.913166e-001	2.868876e+000
1.915390e-001	2.779224e+000
1.917615e-001	2.868876e+000
1.919839e-001	2.868876e+000
1.922064e-001	2.838992e+000
1.924289e-001	2.838992e+000
1.926513e-001	2.868876e+000
1.928738e-001	2.838992e+000
1.930962e-001	2.838992e+000
1.933187e-001	2.838992e+000
1.935411e-001	2.838992e+000
1.937636e-001	2.868876e+000
